220 13
0	55595	0	1	12	0.431	117	6.60000000000000000000e+02	1.40000000000000000000e+01	4.86902117729187011719e-01	1.62211894989013671875e+00	3.8000000000000003	0.23662956058979034
1	55595	0	1	55	0.581	117	6.81000000000000000000e+02	2.00000000000000000000e+01	5.11686563491821289062e-01	1.84517896175384521484e+00	3.875	0.583611786365509
2	55595	0	1	56	0.910	117	6.55000000000000000000e+02	1.20000000000000000000e+01	4.80701088905334472656e-01	1.56630992889404296875e+00	3.9000000000000004	0.1498154252767563
3	55595	0	1	66	0.632	117	6.55000000000000000000e+02	1.20000000000000000000e+01	4.81127649545669555664e-01	1.57014894485473632812e+00	3.6500000000000004	0.15578719973564148
4	69319	1	0	0	0.000	117	6.82000000000000000000e+02	2.00000000000000000000e+01	5.12670278549194335938e-01	1.85403239727020263672e+00	2.075	0.5973837375640869
5	69319	1	0	0	0.000	117	6.61000000000000000000e+02	1.40000000000000000000e+01	4.88512933254241943359e-01	1.63661634922027587891e+00	2.1	0.2591809630393982
6	69319	1	0	0	0.000	117	6.57000000000000000000e+02	1.30000000000000000000e+01	4.83894616365432739258e-01	1.59505140781402587891e+00	2.125	0.19452446699142456
7	130222	1	1	2	0.690	117	6.88000000000000000000e+02	2.20000000000000000000e+01	5.19694626331329345703e-01	1.91725158691406250000e+00	1.3	0.6957247257232666
8	130222	1	0	0	0.000	117	6.76000000000000000000e+02	1.90000000000000000000e+01	5.06354868412017822266e-01	1.79719388484954833984e+00	1.35	0.5089682936668396
9	130222	1	0	0	0.000	117	6.73000000000000000000e+02	1.80000000000000000000e+01	5.02623140811920166016e-01	1.76360821723937988281e+00	1.375	0.4567239284515381
10	130222	1	0	0	0.000	117	6.65000000000000000000e+02	1.50000000000000000000e+01	4.92437392473220825195e-01	1.67193651199340820312e+00	1.4000000000000001	0.3141234815120697
11	130378	1	0	0	0.000	117	6.64000000000000000000e+02	1.50000000000000000000e+01	4.91435021162033081055e-01	1.66291511058807373047e+00	1.8	0.3000902235507965
12	130378	1	1	65	0.274	117	6.73000000000000000000e+02	1.80000000000000000000e+01	5.02666234970092773438e-01	1.76399600505828857422e+00	1.675	0.4573270380496979
