0	L6_IPC
1	L23_PC
2	L4_MC
3	L4_PC
4	L4_SP
5	L4_LBC
6	L5_UTPC
7	L5_TTPC1
8	L5_MC
9	L6_BPC
10	L4_NBC
11	L4_NGC
12	L5_LBC
13	L5_TTPC2
14	L6_TPC_L4
15	L6_TPC_L1
16	L6_MC
